"asciiname","population","latitude","longitude"
Vila Real,17001,41.30062,-7.74413
Palmela,16934,38.56902,-8.90126
Fafe,16868,41.45083,-8.17258
Cabeceiras de Basto,16710,41.51431,-7.98942
Feira,16376,40.92535,-8.54277
Leca do Bailio,16103,41.21201,-8.63422
Vialonga,16088,38.87206,-9.07805
Albufeira,15851,37.08819,-8.2503
Baguim do Monte,15850,41.19203,-8.54118
Alcobaca,15800,39.55223,-8.97749
Peniche,15662,39.3558,-9.38112
Portalegre,15581,39.29379,-7.43122
Alfena,15211,41.23671,-8.52454
Tavira,15133,37.12734,-7.64861
Torres Novas,15002,39.48114,-8.53949
Povoa de Santo Adriao,14897,38.8,-9.16667
Gafanha da Nazare,14840,40.63621,-8.71338
Vilar do Paraiso,14727,41.08974,-8.6211
Valbom,14443,41.12921,-8.56199
Arcozelo,14352,41.06187,-8.63192
Canelas,14247,41.08333,-8.6
Costa de Caparica,14231,38.64458,-9.23556
Valenza,14172,42.02418,-8.63474
Samora Correia,14154,38.93709,-8.87178
Santo Tirso,14021,41.34257,-8.47746
Porto Salvo,13867,38.72293,-9.30473
Abrantes,13646,39.46667,-8.2
Esgueira,13431,40.64899,-8.62943
Alhos Vedros,13384,38.65486,-9.02368
Moreira,12890,41.24756,-8.64788
Montemor-o-Novo,12854,38.64812,-8.21455
Sines,12791,37.95622,-8.86979
Beato Antonio,12737,38.73327,-9.10335
Ourem,12729,39.64167,-8.5919
Pedroucos,12553,41.1888,-8.58624
Perafita,12538,41.18252,-8.2545
Mirandela,12504,41.48739,-7.18695
Azenha,12260,41.07651,-8.62468
Mafra,12259,38.93793,-9.32756
Aldeia de Paio Pires,12179,38.61667,-9.08333
Tabua,12071,40.36207,-8.02936
Rio Maior,12064,39.33732,-8.93906
Barcarena,11968,38.73245,-9.28
Alijo,11942,41.27536,-7.47465
Agueda,11941,40.5772,-8.44442
Fatima,11798,39.62071,-8.65237
Oliveira de Azemeis,11771,40.84101,-8.47555
Semelhe,11700,41.55437,-8.46281
Real,11700,41.55841,-8.4433
Sao Felix da Marinha,11685,41.03555,-8.62259
Santa Comba Dao,11597,40.39856,-8.1316
Avintes,11577,41.10711,-8.55131
